NAME,fulldate,BHRET3,Obs,rMVOP,rMVMP
Nationwide Cellular Service,19860730,348.781,453,15.8209,15.8209
Edison Control,19860730,-75.758,454,29.5323,33.7512
General Parametrics,19860730,-61.46,455,194.075,179.147
Adobe Systems,19860813,596.17,456,112.197,137.696
Altai,19860814,-37.349,457,23.2642,23.8691
SCS/Compute,19860903,-50.76,458,51.7167,48.7614
Acuson,19860916,296.875,459,353.311,331.23
Informix,19860924,46.341,460,107.748,109.615
Manatron,19860926,-49.398,461,22.0438,21.5399
Microwave Labs,19861008,-89.583,462,32.9677,32.9677
IDB Communications Group,19861008,7.69,463,48.9392,47.9605
Chips and Technologies,19861008,336.145,464,130.022,133.403
Morino,19861017,73.437,465,198.891,205.521
Convex Computer,19861017,86.154,466,254.279,271.231
California Micro Devices,19861024,-62.887,467,42.9363,42.9363
Silicon Graphics,19861029,100,468,270.334,300.371
Metro Mobile CTS,19861031,473.27,469,455.089,464.19
SAZTEC International,19861112,-34.783,470,18.3321,16.5136
Irwin Magnetic Systems,19861113,59.375,471,81.2922,81.292
Elcotel,19861118,-2.857,472,42.7917,46.3577
Cerner,19861205,-27.74,473,110.736,117.657
SAGE Software,19861217,-27.358,474,119.485,126.654
Alliant Computer Systems,19861217,-71.014,475,291.225,334.908
Hemodynamics,19861222,-64,476,14.4648,14.4648
Lowrance Electronics,19861223,-63.49,477,54.902,54.0784
Network Equipment Technologies,19870123,24.022,478,409.622,569.63
SSE Telecom,19870206,0,479,41.9661,50.3593
Photon Technology Intl,19870209,-72.491,480,32.072,30.2464
System Software Associates,19870212,248.387,481,126.692,151.056
Excelan,19870226,4.72,482,192.979,253.285
Elexis,19870227,-96.573,483,31.0187,34.3421
Telematics International,19870305,-80.702,484,372.652,442.52
Photronic Laboratories,19870310,-17.57,485,51.9552,60.0732
Xylogics,19870325,-53.676,486,90.7315,96.402
Davox,19870428,-60.11,487,114.442,116.93
Sequent Computer Systems,19870430,173.826,488,259.317,284.181
Microcom,19870519,111.594,489,122.152,123.948
Digital Microwave,19870519,6.154,490,319.394,340.687
Nellcor,19870519,38.806,491,427.49,447.53
Data Technology,19870521,-45.83,492,227.579,245.682
Criticare Systems,19870522,-48,493,55.395,63.3085
Komag,19870528,-11.111,494,279.441,337.658
Alpharel,19870604,-96.8,495,194.038,189.628
ECAD,19870610,203.175,496,158.438,167.757
Intl Microelectronic Products,19870610,-59.55,497,274.341,274.341
Impact Systems,19870611,-87.681,498,150.797,150.797
Interspec,19870616,-65.96,499,101.463,103.669
Aldus,19870616,-23.345,500,420.671,730.92
Xeta,19870617,-89.474,501,27.2349,27.2349
Samna,19870617,141.379,502,32.175,35.8875
Delphi Information Systems,19870701,-5.36,503,57.7517,53.9015
Vikonics,19870714,21.154,504,20.988,27.2844
FileNet,19870721,-8.571,505,304.983,333.576
Fair Issac & Company,19870722,-42.584,506,104.715,101.96
Optek Technology,19870723,-60.2,507,36.5429,36.5429
CONMED,19870723,1.59,508,39.2931,44.2047
Everex Systems,19870723,-18.8,509,469.207,474.75
ProNet,19870729,-37.209,510,77.027,78.861
ABIOMED,19870729,-10.23,511,101.299,101.299
Digital Optronics,19870806,-79.897,512,25.542,25.542
Xscribe,19870811,-93.359,513,80.879,80.879
Teradata,19870811,0,514,515.038,618.05
Domain Technology,19870814,-99.543,515,128.165,131.37
McCaw Cellular Communications,19870824,-31.25,516,4825.43,5324.62
Intellicall,19870825,-32.218,517,139.432,146.901
CAM Data Systems,19870902,-84.706,518,13.9788,13.9788
Rainbow Technologies,19870910,272.672,519,16.533,17.7895
Centex Telemanagement,19870922,123.776,520,150.347,148.343
Flextronics,19870928,-95.195,521,178.794,183.264
Structural Dynamics Research,19870929,198.039,522,147.337,150.283
Summagraphics,19870930,-44.304,523,65.9855,68.625
II-VI,19871002,-46.154,524,32.175,32.175
Dallas-Semiconductor,19871006,-55.689,525,410.591,473.55
HHB Systems,19871008,4.348,526,106.872,102.419
Code-Alarm,19871009,24.528,527,28.2269,27.1814
ISOETEC Communications,19871009,-5,528,114.8,114.8
Critical Industries,19871014,-86.747,529,65.34,60.944
Keptel,19871015,-47.541,530,64.2114,64.211
Blyth Holdings,19871016,-28.07,531,34.65,35.2688
Houston Biomedical,19880129,-53.846,532,10.9423,10.3951
McClatchy Newspapers,19880204,24.69,533,882.221,922.32
Octel Communications,19880226,90.345,534,183.683,236.164
Maxim Integrated Products,19880229,139.58,535,113.719,124.057
Vanguard Cellular Systems,19880303,79.12,536,465.204,529.82
Vitalink Communications,19880304,3.448,537,158.63,173.051
Altera,19880330,218.92,538,184.88,189.082
Conner Peripherals,19880412,218.182,539,509.669,525.6
Teleconnect,19880511,6.25,540,414.371,414.37
Relational Technology,19880517,-36.526,541,285.949,293.608
Phoenix Technologies,19880614,-53.6,542,247.828,256.089
Dell Computer,19880622,132.05,543,243.085,278.833
Mindscape,19880623,15.79,544,59.2252,62.5155
Index Technology,19880623,-28.07,545,100.547,119.399
Unitronix,19880812,-72.254,546,23.9778,26.6633
BMC Software,19880812,710,547,247.177,236.878
SynOptics Communications,19880819,257.27,548,187.104,200.963
Weitek,19880920,-27.273,549,139.585,143.075
Landmark Graphics,19880928,157.576,550,105.259,108.548
ARIX,19881004,-87.395,551,107.615,107.615
Sierra On-Line,19881005,65.66,552,58.6428,60.2718
Taunton Technologies,19881019,63.569,553,45.691,52.2183
Logic Devices,19881102,-33.33,554,51.381,49.2401
FSI International,19890119,-43.33,555,54.7337,54.7337
Network General,19890202,390.181,556,90.2224,107.139
Bytex,19890413,-15.625,557,88.156,88.156
Consilium,19890509,26.06,558,103.17,118.932
Goal Systems International,19890509,73.75,559,256.132,262.7
Comptronix,19890518,131.11,560,76.016,85.518
Cabletron Systems,19890530,185.199,561,740.529,782.33
Cirrus Logic,19890608,52.54,562,267.775,331.372
Symantec,19890623,600,563,112.038,122.708
BEI Electronics,19890713,-4.39,564,108.114,108.114
Cognex,19890720,93.258,565,78.5753,79.468
Biomagnetic Technologies,19890728,16.667,566,90.548,90.548
New Image Industries,19890824,-36.25,567,35.9907,55.3704
Brite Voice Systems,19890906,-79.02,568,99.317,111.235
Electronic Arts,19890920,682.09,569,135.348,139.578
Surgical Laser Technologies,19890929,-68.548,570,120.782,149.769
Digi International,19891005,315.91,571,69.4494,75.526
Caere,19891019,90.769,572,108.747,146.129
Exabyte,19891019,36.082,573,348.72,422.824
KnowledgeWare,19891020,-22.67,574,243.723,272.97
Lattice Semiconductor,19891108,281.527,575,104.305,99.959
Amtech,19891108,152.328,576,151.979,168.054
Mass Microsystems,19891109,-90.099,577,43.8106,54.7633
Solectron,19891115,944,578,60.8783,63.4149
Laserscope,19891130,-53.846,579,105.2,132.961
Parametric Technology,19891207,803.93,580,168.992,246.447
Cellular Information Systems,19891208,-86.36,581,240.63,246.226
Borland International,19891219,117.5,582,242.018,242.018
Exide Electronics Group,19891221,89.899,583,122.783,121.555
MIPS Computer Systems,19891221,-53.947,584,664.503,721.46
Henley International,19900202,101.56,585,36.6548,36.6548
Cisco Systems,19900216,1369.66,586,382.956,473.376
Digital Sound,19900227,-67.105,587,257.321,287.594
Integrated Systems,19900306,-50.505,588,125.219,172.177
Sequoia Systems,19900306,-75.041,589,136.496,129.312
Verifone,19900313,27.74,590,583.378,701.88
Syntellect,19900329,-64.626,591,157.918,193.45
Advanced Logic Research,19900411,-80.49,592,212.16,248.88
JMAR Industries,19900426,-45.205,593,11.5878,11.1049
Telebit,19900427,-63.04,594,112.714,129.621
Aspect Telecommunications,19900501,24.59,595,250.655,263.62
RasterOps,19900509,-48.74,596,110.359,136.799
Digital Systems International,19900608,-77.4,597,269.828,331.663
Xilinx,19900612,140.18,598,388.489,543.885
AICorp,19900625,-70.143,599,125.54,143.71
Benchmark Electronics,19900628,91.3,600,48.2607,47.5713
Micrografx,19900629,-63.395,601,94.1959,138.35
MECA Software,19900719,-53.061,602,81.0037,99.229
Trimble Navigation,19900720,15.663,603,254.768,264.322
IKOS Systems,19900725,-75.962,604,120.679,120.679
Bird Medical Technologies,19900801,-62.089,605,87.5566,82.084
Easel,19900809,-33.333,606,66.6149,74.942
Lunar,19900814,-13.21,607,102.537,113.218
Marcam,19900816,-5.56,608,186.168,239.359
Radius,19900820,-59.02,609,221.053,218.289
Vital Signs,19900829,58.025,610,181.32,183.587
In Focus Systems,19901220,31.111,611,121.319,143.667
Cygnus Therapeutic Systems,19910131,-6.38,612,164.128,214.279
Advanced Photonix,19910211,-57.43,613,38.296,60.6354
Atmel,19910319,280.769,614,334.609,334.609
Symix Systems,19910321,-61.43,615,61.2028,88.744
Brooktree,19910417,-58.824,616,288.944,409.337
Platinum Technology,19910418,22.892,617,197.596,273.341
Ross Systems,19910425,-58.197,618,129.833,139.57
Xyplex,19910425,3.033,619,131.057,147.439
Applied Immune Sciences,19910502,-10.413,620,139.642,154.189
Computer Petroleum,19910521,-80,621,23.4848,24.0719
State of the Art,19910523,-18.919,622,134.651,142.132
Envoy,19910523,71.28,623,171.158,201.111
Proteon,19910604,-43.21,624,223.052,225.84
Quarterdeck Office Systems,19910611,-67.01,625,321.965,390.382
American Dental Laser,19910618,-89.6,626,146.834,176.484
Integrated Circuit Systems,19910620,104.55,627,61.2089,61.2089
IDEXX Corp,19910621,290.08,628,115.289,116.25
Advanced Promotion Tech,19910626,-34.38,629,68.7513,91.668
Micronics Computers,19910717,-36,630,102.126,106.381
Teknekron Communications,19910718,-45,631,204.762,204.762
Video Lottery Technologies,19910724,-41.67,632,234.858,301.96
GMIS,19910725,13.71,633,81.0523,96.639
Progress Software,19910730,8.48,634,226.545,267.323
Wellfleet Communications,19910730,259.2,635,400.576,530.174
Medicus Systems,19910801,10.322,636,65.0474,81.309
Mediware Information Systems,19910807,-81.395,637,21.5756,22.603
Sybase,19910813,385.985,638,412.434,530.82
Zebra Technologies,19910815,110.959,639,303.743,357.633
Technology Solutions,19910920,-63.33,640,274.922,343.652
Artisoft,19910920,-43.37,641,501.035,649.78
CellPro,19910924,53.571,642,158.473,201.693
Paging Network,19911001,118.788,643,986.1,1081.97
MicroProse,19911003,35.98,644,97.002,110.474
Centigram Communications,19911010,47.11,645,74.3754,77.835
US Robotics,19911011,169.231,646,202.429,202.429
Lannet Data Communications,19911016,-46.41,647,226.632,263.677
Read-Rite,19911018,39.6,648,507.414,557.05
Mitek Surgical Products,19911025,-17.172,649,107.714,166.62
IMRS,19911025,120.635,650,131.678,165.914
Marquette Electronics,19911101,8.333,651,1119.48,1240.03
DATEQ Information Network,19911106,-61.8,652,54.1025,60.8653
Advanced Interventional Sys,19911106,-94.286,653,196.282,264.226
NAMIC USA,19911107,-6.06,654,272.983,280.566
"LaserSight, ",19911113,117.432,655,16.6708,28.7572
Atlantic Tel-Network,19911114,-56.41,656,381.494,451.769
ARI Network Services,19911115,-64.789,657,134.95,149.711
Information America,19911121,-16.67,658,55.4502,54.4941
Physicians Computer Network,19911121,-34.722,659,126.641,126.641
Broderbund Software,19911125,393.25,660,163.926,204.907
Bachman Information Sys ,19911126,-77.35,661,189.302,222.429
Conceptronic,19911204,-69.792,662,16.6872,17.0349
Retix Corp,19911209,-63.87,663,215.471,281.309
American Superconductor,19911211,103.938,664,106.11,143.56
Vitesse Semiconductor Corp,19911211,-52.44,665,205.738,234.313
QUALCOMM,19911213,183.333,666,532.237,598.77
Viewlogic Systems,19911217,14.809,667,255.833,309.951
Syquest Technology,19911218,32.353,668,177.964,216.099
Allied Healthcare Products,19920113,98.52,669,99.847,107.648
Arch Communications Group,19920117,70,670,124.92,127.76
CardioPulmonics,19920117,-75.735,671,142.922,220.879
Spectranetics,19920121,-88.06,672,208.392,258.56
Abaxis,19920122,-78.657,673,107.639,154.119
Ventritex,19920122,-9.17,674,498.09,843.99
ElectroCom Automation,19920130,-41.045,675,676.28,707.98
Defense Software & Systems,19920211,33.333,676,20.5755,34.7212
Frame Technology,19920212,-17.24,677,239.936,372.757
Chemtrak,19920219,-79.41,678,184.687,181.135
I-Stat,19920226,32.88,679,250.578,247.192
Synopsys,19920226,51.587,680,365.88,640.29
Heart Technology,19920302,-24.232,681,414.257,592.62
Endosonics,19920304,-55.3,682,212.909,234.199
PolyMedica Industries,19920305,-50.529,683,129.262,129.262
Triconex,19920319,7.692,684,94.676,118.345
America Online,19920319,1041.12,685,100.278,128.618
Protocol Systems,19920324,2.128,686,120.324,128.527
Satellite Technology,19920325,11.11,687,70.8021,71.687
Walker Interactive Systems,19920325,-68.21,688,276.406,405.395
Kendall Square Research,19920327,-99.432,689,198.399,198.399
Xircom,19920330,-15.545,690,319.944,382.79
M-Wave,19920331,78.607,691,32.3785,32.3785
ICU Medical,19920331,124.1,692,59.8635,56.4622
ChipSoft,19920403,24.545,693,289.891,318.88
VideoTelecom,19920407,-15,694,154.792,168.253
Kopin,19920415,-12.5,695,104.425,104.425
Teledata Communication,19920416,-47.917,696,182.029,198.578
CliniCom,19920420,386.67,697,39.5006,40.8396
Orthofix International,19920424,59.524,698,197.046,172.416
Learning,19920428,113.75,699,98.252,110.534
Intermedia Communications,19920430,31.25,700,87.6867,87.687
Metricom,19920501,185.42,701,75.6509,75.651
Stac Electronics,19920507,-54,702,458.537,477.64
VMark Software,19920514,82.353,703,86.4171,81.616
SuperMac Technology,19920515,-32.93,704,97.313,110.828
Cardiovascular Imaging Systems,19920518,18.07,705,72.7735,92.266
Boston Scientific,19920518,52.14,706,2760.82,2781.12
Optical Data Systems,19920521,444.444,707,107.892,107.892
PerSeptive Biosystems,19920529,-7.042,708,135.398,171.665
United States Paging,19920603,43,709,29.7914,31.0327
Netframe Systems,19920604,-47.368,710,161.465,170.435
Network Computing Devices,19920604,-48.112,711,278.793,302.026
Kronos,19920605,173.469,712,89.4795,91.344
Intramed Laboratories,19920609,-48.78,713,31.0283,29.618
Arrow International,19920609,114.385,714,641.812,646.27
Equitrac,19920611,-58.988,715,63.6006,63.601
Broadway & Seymour,19920616,148.571,716,79.4948,86.947
CrossComm,19920618,5.44,717,111.656,116.732
MicroTouch Systems,19920630,169.672,718,67.0737,75.768
Data Research Associates,19920701,85.71,719,40.7188,40.7188
Electronic Information Systems,19920710,241.46,720,40.4971,41.5095
Zoll Medical,19920716,-3.704,721,91.8561,124.006
Medrad,19920716,23.438,722,107.586,143.448
StrataCom,19920721,1389.29,723,168.558,168.558
First Pacific Networks,19920722,-70.27,724,256.868,264.004
Creative Technology,19920803,10.675,725,816.302,867.32
Tadiran,19920805,42.72,726,448.674,448.67
Banyan Systems,19920806,-7.2,727,264.56,314.953
3Net Systems,19920810,-94.519,728,15.9899,16.3896
Value-Added Communications,19920812,-83.051,729,88.1341,99.998
BKC Semiconductors,19920820,-59.546,730,13.7664,13.2748
Perceptron,19920820,298.96,731,36.2759,39.0663
Lifequest Medical,19920820,-76.47,732,55.4845,56.145
Intelligent Surgical Laser,19920911,-88.235,733,63.8,67.788
Netrix,19920922,-60.377,734,149.79,165.393
Electronics for Imaging,19921002,370.83,735,194.964,229.369
4th Dimension Software,19921006,-55.56,736,209.238,235.393
McAfee Associates,19921006,133.333,737,282.379,357.386
Data Race,19921007,-67.797,738,87.1285,98.857
IQ Software,19921015,52.63,739,56.975,60.1403
Brooktrout Technology,19921020,55.73,740,61.5511,73.8613
Corel,19921020,251.346,741,321.721,321.721
Platinum Software,19921022,-44.311,742,181.699,270.927
Citation Computer Systems,19921023,-38.6,743,39.5576,40.264
Microtest,19921030,-11.77,744,170.357,199.729
Rimage,19921104,-3.92,745,11.165,12.8398
Dial Page,19921105,51.136,746,104.972,104.972
Media Vision Technology,19921111,-99.57,747,278.056,407.816
PeopleSoft,19921118,486.75,748,280.857,477.044
Micro Warehouse,19921210,308.421,749,323.791,427.225
Vision-Sciences,19921215,-83.333,750,144.555,192.74
CompuWare,19921215,-22.476,751,1229.62,1383.33
Trident Microsystems,19921216,78.125,752,306.128,288.121
ISG International Software,19921217,-71.59,753,61.1284,76.8471
TRO Learning,19921223,22.222,754,95.8914,118.666
Hungarian Telephone & Cable,19921224,32.736,755,13.0407,15.6023
Computer Outsourcing Services,19930120,-37.255,756,22.024,26.7434
OrthoLogic,19930128,215.385,757,67.0505,67.051
MathSoft,19930203,-72.159,758,129.404,218.992
Powersoft,19930203,93.464,759,283.262,541.739
Proxima,19930204,68.852,760,120.171,140.97
Gupta,19930204,-82.272,761,312.743,586.394
Molecular Dynamics,19930205,-60.47,762,162.707,238.513
Cyberonics,19930210,-50.9,763,165.047,165.047
Universal Electronics,19930212,-47.79,764,112.102,146.595
Boca Research,19930225,119.231,765,129.233,126.002
S3,19930305,208.861,766,195.54,257.461
Tencor Instruments,19930308,332.676,767,88.0312,90.966
Superconductor Technologies,19930309,-30.952,768,86.4177,90.739
Community Health Computing,19930309,-98.44,769,114.009,114.009
Avid Technology,19930311,-26.241,770,305.743,401.288
Intuit,19930312,219.685,771,343.633,545.517
Wall Data,19930315,-34.64,772,254.019,288.946
Aseco,19930316,4.88,773,47.2456,50.9755
Microchip Technology,19930319,765.966,774,127.136,145.473
Tricord Systems,19930319,-60.23,775,193.923,193.923
Magal Security Systems,19930323,-66.207,776,67.2798,83.619
Applied Signal Technology,19930326,-34.483,777,79.4604,82.298
Gilat Satellite Networks,19930326,59.829,778,148.298,180.738
Styles on Video,19930329,-54.563,779,19.2784,29.7208
Parallan Computer,19930330,-13.542,780,127.454,127.454
Liberty Technologies,19930331,-35.616,781,63.6437,64.528
Brock Control Systems,19930331,-41.509,782,76.6997,92.388
Davidson & Associates,19930331,186.754,783,333.215,416.519
Casino Data Systems,19930405,307.43,784,35.8671,86.0811
BHC Financial,19930407,-9.715,785,105.681,143.424
Edunetics,19930413,-85.4,786,111.168,116.958
Equinox Systems,19930415,-13.306,787,67.1532,65.693
Wind River Systems,19930415,187.654,788,122.478,130.536
JetForm,19930420,337.769,789,42.3828,45.9147
Interlinq Software,19930427,-47.57,790,67.9607,67.961
Absolute Entertainment,19930429,-86.26,791,60.6946,72.0749
Jabil Circuit,19930429,40.517,792,150.026,155.384
Electronic Retailing Systems,19930430,-84.62,793,231.25,231.25
3DO,19930503,-56.86,794,463.269,625.41
Catalyst Semiconductor,19930511,-46.296,795,107.95,132.484
Auspex Systems,19930511,70.494,796,428.96,513.86
Quad Systems,19930512,2.586,797,41.9567,43.4551
OPTi,19930512,-41.37,798,97.056,98.269
Megatest,19930518,81,799,113.632,118.367
Santa Cruz Operation,19930526,-34.44,800,567.574,561.9
Signal Technology,19930527,1.177,801,82.3878,82.388
Image Business Systems,19930610,-97.36,802,37.6335,38.3055
ECCS ,19930614,-51.04,803,38.1677,40.5532
International Imaging,19930617,40.91,804,169.513,199.783
FLIR Systems,19930622,6.522,805,85.3214,81.766
RGB Computer & Video,19930623,6.329,806,33.3967,47.1132
Pinnacle Micro,19930701,9.239,807,83.427,91.372
BroadBand Technologies,19930701,10.526,808,333.254,527.652
Fourth Shift,19930714,0,809,91.7491,97.042
Metrocall,19930716,-28.302,810,142.612,145.354
Cyrix,19930716,-22.89,811,452.429,586.74
Dataware Technologies,19930720,-71.32,812,111.6,127.697
Wonderware,19930722,-52.73,813,232.912,282.822
Actel,19930802,37.71,814,245.674,342.651
Best Power Technology,19930804,15.97,815,216.223,268.415
Conductus,19930805,3.797,816,81.3997,80.382
EP Technologies,19930805,100,817,89.7419,93.194
QuickResponse Services,19930805,79.845,818,145.593,195.641
Innodata ,19930810,-57.813,819,32.5012,45.5017
CenCall Communications,19930810,-11.98,820,503.142,628.93
Manugistics Group,19930813,159.756,821,140.628,144.143
SPSS,19930818,201.56,822,74.3837,74.384
Level One Communications ,19930819,14.47,823,185.39,310.8
A+ Communications,19930824,-52.86,824,101.293,139.277
Cornerstone Imaging,19930909,-58.62,825,113.487,149.597
PairGain Technologies,19930915,659.49,826,266.352,375.747
NetManage,19930921,42.27,827,208.008,315.262
Summa Four ,19930923,-45.238,828,148.537,229.359
Ultratech Stepper,19930929,96,829,137.154,183.688
Micro Component Technology,19931008,-83.854,830,84.3086,91.973
Aladdin Knowledge Systems,19931012,54.218,831,46.4096,61.3269
Frisco Bay Industries Ltd,19931013,-60,832,30.8576,30.0004
Davel Communications Group,19931020,3.731,833,89.4208,115.215
Illinois Superconductor,19931026,22.03,834,62.1499,81.4854
Credence Systems,19931028,89.89,835,193.229,189.203
Mercury Interactive,19931029,-28.86,836,249.756,357.823
Itron,19931104,13.58,837,223.052,251.966
Golden Systems,19931109,-95.08,838,48.0956,52.3899
Zytec Corp,19931111,104.762,839,64.6367,65.415
FTP Software,19931116,-69.549,840,636.415,820.64
Uniphase,19931117,1169.7,841,52.2737,53.9072
United Video Satellite Group,19931118,112.502,842,433.555,413.23
Photonics Corp,19931123,-92.14,843,61.462,59.7547
Advanced Technology Materials,19931123,105.556,844,67.4635,65.054
ParkerVision,19931130,86.06,845,67.3184,80.782
Alliance Semiconductor,19931130,115.671,846,150.25,157.293
Gateway 2000,19931207,216.828,847,1676.41,2151.4
Veritas Software,19931208,604.77,848,100.595,122.6
CMC Industries,19931209,20,849,83.3482,81.033
Asante Technologies,19931210,-50.532,850,141.16,132.691
Digidesign,19931210,71.429,851,153.776,153.776
Racotek,19931210,-38.33,852,249.384,267.197
TriQuint Semiconductor,19931213,126.027,853,85.2087,98.765
Macromedia,19931213,134.783,854,195.304,280.749
American Mobile Satellite,19931213,-34.786,855,795.782,757.89
Active Voice,19931214,-24.66,856,100.931,122.8
Proxim,19931215,183.202,857,95.2571,83.35
Quickturn Design Systems,19931215,43.4,858,224.522,247.91
Navarre,19931216,46.667,859,24.7088,24.7088
ENCAD,19931216,1327.91,860,39.6808,42.6569
Communications Central,19931216,-39,861,94.4002,98.334
Lambert Communications,19931222,-95.57,862,60.04,60.04
Telular,19940127,-73.37,863,692.88,796.81
Digital Link,19940131,23.49,864,177.274,226.341
MapInfo,19940201,-63.402,865,155.345,198.27
ParcPlace Systems,19940201,-90.7,866,171.314,237.629
USA Mobile Communications,19940202,123.75,867,160.766,160.766
Alantec,19940204,367.227,868,159.384,190.035
SigmaTron International,19940209,165.625,869,28.864,32.9874
Softdesk,19940210,-0.851,870,89.5219,112.875
Sonic Solutions,19940210,-31.25,871,104.784,110.299
DSP Group,19940210,-27.411,872,182.229,201.754
Xpedite Systems,19940214,30.435,873,140.419,161.482
Natural Microsystems,19940217,469.87,874,39.9098,48.608
Integrated Silicon Systems,19940217,183.721,875,87.0845,124.821
Network Long Distance,19940224,51.111,876,21.837,25.1126
Global Village Communication,19940224,-75.595,877,148.251,194.579
Effective Management Systems,19940225,-6.25,878,42.2041,42.2041
Electronic Fab Technology,19940303,-26.984,879,41.6334,43.715
Cidco,19940303,-32.026,880,278.987,355.708
UroMed,19940309,-3.79,881,247.562,239.826
CIBER,19940317,517.91,882,64.4568,67.478
Minnesota Educational,19940318,277.885,883,88.7772,100.357
Flextronics International,19940318,53.45,884,193.952,200.879
Crystallume,19940323,-33.784,885,25.2104,21.5923
Reptron Electronics,19940328,50.106,886,118.075,120.346
Applied Digital Access,19940329,-65.57,887,190.623,242.251
MTI Technology,19940407,-56.25,888,266.878,266.878
Dialogic,19940411,36.16,889,241.118,312.358
XcelleNet,19940414,10.91,890,116.558,145.698
Numar,19940414,44,891,138.853,138.853
Educational Insights,19940415,-79.878,892,106.022,108.673
Software Professionals ,19940420,-56.098,893,23.2007,21.6188
Project Software & Development,19940421,114.286,894,67.4613,69.445
Heartland Wireless,19940421,-82.557,895,175.002,179.169
C-Cube Microsystems,19940421,166.197,896,340.973,403.485
Transaction Network Services,19940422,50,897,104.547,104.547
Micrion,19940511,169.663,898,22.9025,23.1648
Ascend Communications,19940512,2507.7,899,232.352,268.098
Atria Software,19940513,505,900,126.341,157.927
MovieFone,19940513,-41.67,901,221.683,202.406
Panda Project,19940516,-28.6,902,41.0987,49.3185
Ibis Technology,19940520,-1.493,903,34.6832,31.1207
Fore Systems,19940523,152.777,904,306.043,451.892
Indigo,19940524,-73.683,905,1512.99,1512.99
Wavefront Technologies,19940602,213.75,906,62.08,66.1286
Sigma Circuits,19940603,54.545,907,14.0977,14.0977
CDP Technologies,19940614,44,908,48.0715,50.0745
Diametrics Medical,19940614,10,909,84.1161,87.621
Coherent Communications,19940616,436.348,910,42.6725,81.0778
Bio-Plexus,19940621,-65.761,911,64.6676,74.368
UStel,19940622,-30.952,912,12.048,12.6504
GeoWorks ,19940623,-7.292,913,89.9624,89.962
Network Peripherals,19940628,12.245,914,81.8752,83.581
MediSense,19940630,271.875,915,263.779,263.779
Innovative Tech Systems,19940726,-40.957,916,25.6698,30.162
RF Monolithics,19940728,231.48,917,48.5143,50.3802
Cascade Communications,19940728,586.303,918,305.846,497
Spectrian,19940803,247.549,919,129.987,132.586
SystemSoft,19940804,388.889,920,80.6184,82.451
ADTRAN,19940809,180.61,921,489.733,618.97
Global Market Information,19940811,-77.604,922,25.4514,31.178
Target Technologies,19940819,-26.316,923,45.8261,46.6444
Comet Software International,19940823,-86.111,924,44.5211,54.6396
Loronix Information Systems,19940824,-49.028,925,42.2072,43.9658
Wave Systems,19940831,-78.13,926,100.58,100.58
Business Objects,19940922,-38.74,927,397.46,670.004
IPC Information Systems,19940926,34.67,928,163.913,166.645
Affiliated Computer Services,19940926,187.419,929,298.778,338.46
ADFlex Solutions,19940927,65.854,930,132.802,151.247
Tessco Technologies,19940928,72.31,931,73.7157,99.823
Mattson Technology,19940928,75.76,932,111.324,153.07
Metrologic Instruments,19940929,41.28,933,74.7541,84.59
US Xpress Enterprises,19941006,43.089,934,253.008,277.857
Micro Linear,19941013,-2.525,935,152.998,167.631
Clearnet Communications,19941013,53.933,936,514.231,514.23
Ortel,19941020,-4.95,937,215.221,405.609
WavePhore,19941021,-5.114,938,156.897,156.897
Aspen Technology,19941025,337.381,939,131.662,160.78
Tower Semiconductor,19941025,83.74,940,210.84,210.84
Epic Design Technology,19941026,156.63,941,113.317,180.872
Pinnacle Systems,19941108,137.363,942,77.559,88.223
Tele-Matic,19941108,5.263,943,107.717,107.717
Orbit Semiconductor,19941115,59.157,944,67.9846,74.783
Unitech Industries,19941116,-89.23,945,52.0022,70.4196
Quality Semiconductor,19941117,-48.47,946,70.9687,96.596
Shiva,19941117,-39.35,947,226.623,475.908
Andyne Computing Limited,19941122,-9.365,948,66.9025,75.265
ITI Technologies,19941122,56.25,949,202.021,205.177
Veeco Instruments,19941129,264.571,950,82.0514,81.589
SGS-Thomson Microelectronics,19941207,213.599,951,4309.33,4309.33
Applix,19941208,45.22,952,66.8062,66.806
Applied Voice Technology,19941208,93.458,953,96.0105,102.473
Micrel,19941208,400.76,954,117.242,175.863
Global Telecommunication,19941214,-55.045,955,23.6593,23.6593
Netcom On-Line Communications,19941214,32.098,956,131.662,172.173
Security Dynamics Technologies,19941214,738.168,957,134.407,137.558
Videonics,19941215,-60.439,958,88.6447,97.211
Microtec Research,19941215,15.152,959,104.167,107.422
PriCellular,19941215,121.41,960,223.919,218.026
BTG,19941216,9.38,961,71.5169,71.517
Phamis,19941216,82.547,962,92.5467,102.187
Diasys,19950110,9.89,963,16.408,18.6723
Tylan General,19950126,125.84,964,36.1181,36.1181
Neopath,19950126,18.75,965,155.026,169.12
Integrated Silicon Solutions,19950202,-44.059,966,287.446,420.114
Concentra,19950206,-72.289,967,92.2423,97.085
Coin Bill Validator,19950207,95.238,968,44.3163,42.3019
Information Storage Devices,19950209,-72.48,969,171.932,312.344
General Magic,19950209,-94.588,970,513.365,976.31
Oak Technology,19950213,-42.379,971,319.156,490.133
STB Systems,19950214,288.443,972,79.11,87.351
Globalstar Telecommunications,19950214,625.193,973,293,263.7
Transaction Systems,19950223,379.15,974,245.336,292.359
ThrustMaster,19950224,29.446,975,35.6618,47.3478
TGV Software,19950228,-1.618,976,131.381,155.03
